tolerance,reynolds,n,mach,runtime_seconds,relative_l2
0.01,10,32,0.1,0.11388844300017809,0.008586869762461737
0.01,100,32,0.1,0.10817360950022703,0.00868492058723438
0.01,400,16,0.025,0.11888028449993726,0.007113111622609885
0.01,1000,32,0.1,0.09725859050058716,0.008469088779086099
0.005,10,32,0.05,0.19566790050021154,0.00394251208198719
0.005,100,32,0.05,0.22240286150008615,0.0044216417359721144
0.005,400,32,0.05,0.19339956399971925,0.004697124755917272
0.005,1000,32,0.05,0.20752435899976263,0.004773835330661068
