solver,reynolds,n,runtime_median_seconds,runtime_min_seconds,runtime_max_seconds,relative_l2,memory_bytes
spectral,10,32,0.1843054190003386,0.17972511100015254,0.19544336499984638,1.6363987190848693e-09,98304
LBM,10,32,0.7757920359999844,0.7516515959996468,0.7968734770001902,0.004634947983313373,73728
spectral,10,64,0.6498062560003746,0.6228825540001708,1.33811923400026,1.0206795365434923e-10,393216
LBM,10,64,4.312776175999716,4.26161505500022,4.641399608000029,0.00327673168071832,294912
spectral,100,32,0.19807729100011784,0.18411576300059096,0.3911892319993058,1.6822939100604386e-09,98304
LBM,100,32,0.8126920129998325,0.7992825290002656,0.8591955539995979,0.005710992977191381,73728
spectral,100,64,0.6514738370005944,0.6330282379994969,0.6857110939999984,1.0512234592996421e-10,393216
LBM,100,64,4.800933962999807,4.318864904000293,5.300987255999644,0.004431667052679727,294912
spectral,400,32,0.17981715699988854,0.17396097100026964,0.18794076500034862,1.6972325656327327e-09,98304
LBM,400,32,0.7841199539998343,0.7454741159999685,0.8222353090004617,0.005643492338784703,73728
spectral,400,64,0.6517742440000802,0.6250485020000269,0.9388718889995289,1.0607205251384063e-10,393216
LBM,400,64,4.394337704000463,4.304548350000005,4.657432711000183,0.004539829029307307,294912
spectral,1000,32,0.19029847899946617,0.17443043899947952,0.346973349000109,1.700445490378524e-09,98304
LBM,1000,32,0.765408170000228,0.7410195419997763,0.8346311529994637,0.0056693558270436446,73728
spectral,1000,64,0.6653005170001052,0.6185468949997812,1.0257230639999761,1.0627581751745538e-10,393216
LBM,1000,64,4.453593727000225,4.270560668000144,5.062196032999964,0.0045525067107828505,294912
spectral,2000,32,0.18523989299956156,0.17477865799992287,0.1954251020006268,1.7015331139824038e-09,98304
LBM,2000,32,0.7835227989999112,0.7442519449996325,0.8053526069998043,0.005708944828909657,73728
spectral,2000,64,0.6425280280000152,0.6083918240001367,0.7211499420000109,1.0634506314164426e-10,393216
LBM,2000,64,4.440476933999889,4.3116502379998565,5.310327207999762,0.004556323804124175,294912
spectral,5000,32,0.18338175499957288,0.17385037799977,0.18579010299981746,1.7021897285918988e-09,98304
LBM,5000,32,0.8003960480000387,0.7541923130002033,1.1891677849998814,0.005745805811419748,73728
spectral,5000,64,0.6359166829997775,0.6205508299999565,0.6478627490005238,1.0638685262451194e-10,393216
LBM,5000,64,4.412514634999752,4.251052048999554,4.7006846879994555,0.00456331953505933,294912
