reynolds,n,mach,step,time,relative_l2,vortex_relative_l2,kinetic_energy,exact_kinetic_energy,mass_relative_drift,divergence_l2,pressure_relative_l2,momentum_drift,fourier_mode_relative_error,fourier_phase_error_radians,minimum_population,negative_population_count,runtime_seconds,steps,tau,memory_bytes,runtime_median_seconds,runtime_min_seconds,runtime_max_seconds
10,32,0.1,198,1.0,0.005421089178708279,0.01081999614434193,0.6655107287157456,0.6675800115089099,2.0317081350640365e-14,0.00931214826243361,0.7551072793188442,6.043532119193173e-08,0.007003825580700011,0.003215050249900653,0.02407070445484595,0,0.40829236100034905,198,0.5393003378976341,73728,0.6712320409997119,0.40829236100034905,0.7375879009996424
10,32,0.05,395,1.0,0.004634947983313373,0.009250930515152625,0.6654505895255958,0.6675800115089099,4.218847493575595e-14,0.006624646528693791,0.36296083935148554,1.6417261550216725e-08,0.007156530723875279,0.0032305556345679776,0.025874554510492413,0,0.9076131479996548,395,0.5196999162119786,73728,0.8577312399993389,0.8083774170008837,1.1299611529993854
10,32,0.025,789,0.9999999999999999,0.003820161182079702,0.007624690887434552,0.6654344419507918,0.6675800115089099,8.615330671091215e-14,0.00288841929322632,0.5588619966990303,9.30334698168167e-09,0.007187983735338985,0.0032321875882401763,0.02681365881859014,0,1.5782550129997617,789,0.5098624422100526,73728,1.5782550129997617,1.5352349410004535,1.6417149170001721
10,32,0.0125,1578,0.9999999999999999,0.00367471963466918,0.007334402915712985,0.6654342411627718,0.6675800115089099,1.7363888105137448e-13,0.0016816691280739401,0.3137076125547113,9.037576909065723e-09,0.007186482048170768,0.00323199492197146,0.027292884500540803,0,3.0942548679995525,1578,0.5049312211050263,73728,3.062619846000416,3.0517077849999623,3.118639651999729
100,32,0.1,198,1.0,0.0069360363770988335,0.012175898338394029,0.7371216934051226,0.7401973597880808,2.19824158875781e-14,0.013351617341809605,0.7567898257558043,6.428291177140721e-08,0.007117705842297077,0.0029855297703349493,0.023760981511451843,0,0.38404475199968147,198,0.5039300337897634,73728,0.38573235599960753,0.3832939899994017,0.4361088119994747
100,32,0.05,395,1.0,0.005710992977191381,0.010025390024071618,0.737110524839628,0.7401973597880808,4.3853809472693683e-14,0.009517859524191931,0.36392342314246356,2.4329012138224474e-08,0.007136295819005877,0.003025566257946366,0.02571048930363863,0,1.1596793019998586,395,0.5019699916211978,73728,0.770804942999348,0.7542137780001212,1.1596793019998586
100,32,0.025,789,0.9999999999999999,0.0044509859893993205,0.007813504711636266,0.7371108437655263,0.7401973597880809,8.770761894538737e-14,0.004157332362749159,0.5585415182289595,1.3604923188026607e-08,0.0071875116791889826,0.0031811817171067958,0.026729275447778172,0,1.5976192040006936,789,0.5009862442210052,73728,1.5357938420002029,1.4776480549999178,1.6100150339998436
100,32,0.0125,1578,0.9999999999999999,0.004162934492037756,0.007307843328475586,0.7371093190169014,0.7401973597880809,1.7497114868092467e-13,0.0024069959985704064,0.3134346122107294,1.2980608810061582e-08,0.00709276104293628,0.00295719882560741,0.027250330525039213,0,3.146333589000278,1578,0.5004931221105027,73728,3.138774385999568,3.0607491259997914,4.515266965000592
400,32,0.1,198,1.0,0.006944349011239958,0.01206819239765316,0.7442545615511391,0.7475124584372921,2.19824158875781e-14,0.013788864566057647,0.7567924499046672,6.037496325106417e-08,0.006613407724138697,0.0005787201467870595,0.023735320681423856,0,0.405068707999817,198,0.5009825084474409,73728,0.39749923199997284,0.3756951380000828,0.405068707999817
400,32,0.05,395,1.0,0.005643492338784703,0.009807506971337334,0.7442610648253527,0.7475124584372921,4.39648317751562e-14,0.009820786650922602,0.36378037416942366,2.3641206214897185e-08,0.006667231918426337,0.0010835659307608658,0.02569316747597096,0,0.7581129580003108,395,0.5004924979052995,73728,0.780294999999569,0.7581129580003108,0.8176614509993669
