reynolds,omega,alpha,p_min,p_median,aa_scale_worst,log10_naive_full_trajectory_p_worst
10,1.9618351125036853,12.342184134326152,0.006564409237487099,0.006567002416538171,12.34247272093514,-43.65608704097632
100,1.9961168207558269,12.563800660187521,0.0063346597253879115,0.006337363904063056,12.564301644744399,-43.96553417711158
400,1.9990277894635404,12.582637052390421,0.006315677012478593,0.006318400348633072,12.583169422823598,-43.99160176353769
1000,1.999611002329126,12.586411270908428,0.006311883548959354,0.006314609796564193,12.586950118704857,-43.99682044473981
