reynolds,step,time,total_steps,omega,alpha,p_min,p_median,p_max,raw_attempts_worst,aa_scale_worst,log10_naive_full_trajectory_p_worst
10,0,0.0,20,1.9618351125036853,12.342184134326152,0.006564721059946157,0.006567156056092533,0.0065711563398942515,152.3293969185344,12.342179585410932,-43.65567445378963
10,4,0.02,20,1.9618351125036853,12.342184134326152,0.006564842318458946,0.006566315602062006,0.0065678910364757245,152.326583258247,12.342065599333322,-43.655514016152914
10,8,0.04,20,1.9618351125036853,12.342184134326152,0.006564769078272233,0.006566136895970023,0.006567381873217407,152.32828269767379,12.342134446588798,-43.655610920190604
10,12,0.06,20,1.9618351125036853,12.342184134326152,0.006564727417346732,0.006566848776983808,0.006569592653637895,152.3292493999957,12.342173609214695,-43.65566604221318
10,16,0.08,20,1.9618351125036853,12.342184134326152,0.006564409237487099,0.006567409966385392,0.006572191790995242,152.3366328670281,12.34247272093514,-43.65608704097632
10,20,0.1,20,1.9618351125036853,12.342184134326152,0.006564429093511379,0.006567743067177233,0.006573252151642397,152.33617208059292,12.34245405422248,-43.65606076793811
100,0,0.0,20,1.9961168207558269,12.563800660187521,0.006335169679068203,0.006337560633022976,0.006341488792085538,157.8489686399502,12.563795948675313,-43.96483497252902
100,4,0.02,20,1.9961168207558269,12.563800660187521,0.006335338225624242,0.006336583228323698,0.0063380980694435285,157.84476919564412,12.563628822742421,-43.964603888377425
100,8,0.04,20,1.9961168207558269,12.563800660187521,0.006335249381515641,0.006336380415401402,0.006337336695509267,157.84698277509014,12.563716917182196,-43.96472569648076
100,12,0.06,20,1.9961168207558269,12.563800660187521,0.006335246268288955,0.006337167175103136,0.006339336795149356,157.8470603432569,12.563720004173005,-43.96472996484471
100,16,0.08,20,1.9961168207558269,12.563800660187521,0.006334746134391863,0.0063380827811226215,0.006343492802571553,157.8595225104471,12.564215952873745,-43.96541569656398
100,20,0.1,20,1.9961168207558269,12.563800660187521,0.0063346597253879115,0.006338817283305386,0.006345874502083059,157.8616758201268,12.564301644744399,-43.96553417711158
400,0,0.0,20,1.9990277894635404,12.582637052390421,0.006316216199586226,0.006318603480154793,0.006322525623539915,158.3226362747858,12.582632326933256,-43.99086025636447
400,4,0.02,20,1.9990277894635404,12.582637052390421,0.006316388141644164,0.0063176197429763445,0.006319123702561793,158.31832648265637,12.582461066208646,-43.99062380951644
400,8,0.04,20,1.9990277894635404,12.582637052390421,0.0063162989170907555,0.006317399134959074,0.0063183670557849505,158.3205629002424,12.582549936330171,-43.990746506234935
400,12,0.06,20,1.9990277894635404,12.582637052390421,0.006316299986144665,0.006318197217111351,0.006320312879053401,158.3205361039824,12.582548871511783,-43.99074503612029
400,16,0.08,20,1.9990277894635404,12.582637052390421,0.00631578133618651,0.006319154753442593,0.006324633732352557,158.33353733614268,12.583065498364963,-43.99145828933406
400,20,0.1,20,1.9990277894635404,12.582637052390421,0.006315677012478593,0.00631990958086238,0.006327176400269614,158.33615272348277,12.583169422823598,-43.99160176353769
1000,0,0.0,20,1.999611002329126,12.586411270908428,0.006312428750292948,0.006314815296124373,0.006318736236275234,158.41762965698297,12.586406542654776,-43.99607021637017
1000,4,0.02,20,1.999611002329126,12.586411270908428,0.006312601374176568,0.006313830311271638,0.006315332061404642,158.41329758137033,12.586234448053569,-43.99583268949105
1000,8,0.04,20,1.999611002329126,12.586411270908428,0.006312512078459338,0.00631360178866736,0.006314576348756256,158.41553846880953,12.586323469099684,-43.995955557732664
1000,12,0.06,20,1.999611002329126,12.586411270908428,0.0063125140052766385,0.0063144042970040126,0.006316511095559626,158.4154901144138,12.586321548189279,-43.99595290647122
1000,16,0.08,20,1.999611002329126,12.586411270908428,0.00631199158003809,0.0063153725462771,0.006320865684426402,158.4286017051318,12.58684240407942,-43.996671782618584
1000,20,0.1,20,1.999611002329126,12.586411270908428,0.006311883548959354,0.006316131606709794,0.006323441753431909,158.43131329076422,12.586950118704857,-43.99682044473981
