omega,speed,density_shift,requested_steps,stable,relative_error,minimum_population,max_state_norm
1.2,0.03,-0.02,50,True,4.103545103550308e-05,0.023315809922222288,0.48968810706515004
1.2,0.03,-0.02,200,True,4.103545103684583e-05,0.023315809922222347,0.48968810706515004
1.2,0.03,-0.02,1000,True,4.103545103807952e-05,0.023315809922222392,0.48968810706515004
1.2,0.03,0.0,50,True,1.9521466078677293e-15,0.02379702777777777,0.49966568927208754
1.2,0.03,0.0,200,True,3.602223488471411e-15,0.02379702777777785,0.4996656892720883
1.2,0.03,0.0,1000,True,3.599679601745078e-15,0.023797027777777858,0.4996656892720883
1.2,0.03,0.02,50,True,4.103545103349852e-05,0.024278461033333348,0.5096590030575289
1.2,0.03,0.02,200,True,4.1035451033510585e-05,0.02427846103333335,0.5096590030575289
1.2,0.03,0.02,1000,True,4.1035451033510585e-05,0.02427846103333335,0.5096590030575289
1.2,0.1,-0.02,50,True,0.0004589566702208421,0.01621208555555555,0.4866342966609108
1.2,0.1,-0.02,200,True,0.0004589566702207843,0.016212085555555575,0.4866342966609108
1.2,0.1,-0.02,1000,True,0.0004589566702207843,0.016212085555555575,0.4866342966609108
1.2,0.1,0.0,50,True,7.30075853742299e-16,0.016602777777777807,0.4963917379449422
1.2,0.1,0.0,200,True,2.5446354498398028e-15,0.016602777777777813,0.4963917379449431
1.2,0.1,0.0,1000,True,3.6441109319907566e-15,0.016602777777777807,0.4963917379449436
1.2,0.1,0.02,50,True,0.0004589566702193907,0.01699586333333334,0.5063195727038409
1.2,0.1,0.02,200,True,0.00045895667021881236,0.016995863333333368,0.5063195727038409
1.2,0.1,0.02,1000,True,0.0004589566702188021,0.016995863333333368,0.5063195727038409
1.2,0.2,-0.02,50,True,0.0018712022960712222,0.010948342222222194,0.4778872929327052
1.2,0.2,-0.02,200,True,0.001871202296072434,0.010948342222222147,0.4778872929327052
1.2,0.2,-0.02,1000,True,0.001871202296072434,0.010948342222222147,0.4778872929327052
1.2,0.2,0.0,50,True,1.1249458938723768e-15,0.011411111111111117,0.48700731000673947
1.2,0.2,0.0,200,True,3.3502110818762957e-15,0.011411111111111202,0.48700731000674063
1.2,0.2,0.0,1000,True,6.555672470738864e-15,0.011411111111111372,0.487007310006742
1.2,0.2,0.02,50,True,0.0018712022960703852,0.011883453333333361,0.4967474562068738
1.2,0.2,0.02,200,True,0.0018712022960679672,0.011883453333333472,0.4967474562068738
1.2,0.2,0.02,1000,True,0.0018712022960678748,0.011883453333333476,0.4967474562068738
1.2,0.3,-0.02,50,True,0.004303678481533765,0.011430992222222248,0.4680422076900817
1.2,0.3,-0.02,200,True,0.004303678481533058,0.011430992222222266,0.4680422076900817
1.2,0.3,-0.02,1000,True,0.004303678481533058,0.011430992222222266,0.4680422076900817
1.2,0.3,0.0,50,True,1.4721397436054266e-15,0.012202777777777903,0.47642980332888546
1.2,0.3,0.0,200,True,6.191668935450183e-15,0.012202777777778045,0.4764298033288876
1.2,0.3,0.0,1000,True,6.191668935450183e-15,0.012202777777778045,0.4764298033288876
1.2,0.3,0.02,50,True,0.004303678481531444,0.012996103333333404,0.48595839939546265
1.2,0.3,0.02,200,True,0.004303678481531003,0.012996103333333453,0.48595839939546265
1.2,0.3,0.02,1000,True,0.004303678481531003,0.012996103333333453,0.48595839939546265
1.8,0.03,-0.02,50,True,4.1034865351666884e-05,0.023315809997542146,0.4896959731101276
1.8,0.03,-0.02,200,True,4.103545100973573e-05,0.023315809922221244,0.4896959731101276
1.8,0.03,-0.02,1000,True,4.103545090747658e-05,0.023315809922217226,0.4896959731101276
1.8,0.03,0.0,50,True,9.231814983877364e-15,0.02379702777777751,0.49966568927208715
1.8,0.03,0.0,200,True,4.04920860828393e-14,0.023797027777776786,0.49966568927208715
1.8,0.03,0.0,1000,True,2.0591269499352943e-13,0.023797027777772924,0.49966568927208715
1.8,0.03,0.02,50,True,4.1034865362686816e-05,0.024278460954938647,0.5096590030575289
1.8,0.03,0.02,200,True,4.103545106131755e-05,0.024278461033332296,0.5096590030575289
1.8,0.03,0.02,1000,True,4.103545117493463e-05,0.024278461033328265,0.5096590030575289
1.8,0.1,-0.02,50,True,0.00045895011976583377,0.01621208639244586,0.4867195263331248
1.8,0.1,-0.02,200,True,0.00045895667019644164,0.01621208555555484,0.4867195263331248
1.8,0.1,-0.02,1000,True,0.0004589566700995979,0.016212085555551408,0.4867195263331248
1.8,0.1,0.0,50,True,9.029473843246772e-15,0.016602777777777564,0.496391737944942
1.8,0.1,0.0,200,True,3.878121931263822e-14,0.016602777777776963,0.496391737944942
1.8,0.1,0.0,1000,True,1.9163911366634377e-13,0.016602777777773504,0.496391737944942
1.8,0.1,0.02,50,True,0.00045895011977724884,0.016995862462283805,0.5063195727038409
1.8,0.1,0.02,200,True,0.00045895667024413325,0.01699586333333235,0.5063195727038409
